Afghanistan	Kabul
Albania	Tirana
Algeria	Algiers
Andorra	Andorra_la_Vella
Angola	Luanda
Argentina Buenos_Aires
Armenia	Yerevan
Australia Canberra
Austria	Vienna
Azerbaijan Baku
Bahamas	Nassau
Bahrain	Manama
Bangladesh Dhaka
Barbados Bridgetown
Belarus	Minsk
Belgium	Brussels
Belize Belmopan
Benin Porto-Novo
Bhutan Thimphu
Chad N'Djamena
Chile Santiago
China Beijing
Colombia Bogota
Comoros	Moroni
Denmark	Copenhagen
Djibouti Djibouti
Dominica Roseau
Dominican_Republic Santo_Domingo
Fiji Suva
Finland	Helsinki
France Paris
